Country,Both,Male,Female,national_dish,national_dish_wiki_link,image_link,aspect_ratio,order_2_cols,order_3_cols,order_4_cols
Cambodia,21.9,21.9,22.0,fish amok,https://en.wikipedia.org/wiki/Fish_amok,cambodia.avif,1.4998,78,109,122
India,21.9,21.8,22.1,Khichdi,https://en.wikipedia.org/wiki/Khichdi_(dish),india.avif,0.7500,161,164,164
Somalia,21.9,21.2,22.5,bariis Iskukaris,https://en.wikipedia.org/wiki/Bariis_Iskukaris,somalia.avif,1.3388,79,53,40
North Korea,21.8,21.9,21.8,raengmyŏn,https://en.wikipedia.org/wiki/Naengmyeon,north_korea.avif,1.7767,162,110,81
Niger,21.7,21.3,22.2,dambou,https://en.wikipedia.org/wiki/Dambou,niger.avif,1.3333,80,165,123
Afghanistan,21.6,21.5,21.8,kabuli palaw,https://en.wikipedia.org/wiki/Kabuli_palaw,afghanistan.avif,1.3333,163,54,165
Vietnam,21.6,21.5,21.6,Phở,https://en.wikipedia.org/wiki/Ph%E1%BB%9F,vietnam.avif,1.5000,81,111,41
Timor-Leste,21.2,21.5,21.0,,,,,,,
Madagascar,21.1,20.9,21.2,romazava,https://en.wikipedia.org/wiki/Romazava,madagascar.avif,0.7500,164,166,82
Bangladesh,21.0,20.7,21.2,ilish,https://en.wikipedia.org/wiki/Ilish,bangladesh.avif,2.1772,82,55,124
Burundi,20.9,20.4,21.3,boko boko,https://en.wikipedia.org/wiki/Harees,burundi.avif,1.3333,165,112,166
Ethiopia,20.6,20.2,21.0,doro wat,https://en.wikipedia.org/wiki/Wat_(food),ethiopia.avif,1.5040,83,57,83
Eritrea,20.5,20.1,21.0,zigini,https://en.wikipedia.org/wiki/Wat_(food),eritrea.avif,1.5040,166,56,125
